Pclass,Age,SibSp,Parch,Ticket,Fare,Family,Name_0,Name_1,Sex_female,Sex_male,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Embarked_C,Embarked_Q,Embarked_S
1,28.0,1,0,147,146.5208,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
3,28.0,0,0,713,7.75,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,66.0,0,0,713,10.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,28.0,1,0,264,82.1708,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,42.0,1,0,264,52.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,0,0,713,7.2292,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3,21.0,0,0,713,8.05,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,18.0,2,0,264,18.0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,14.0,1,0,264,11.2417,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
3,40.0,1,0,713,9.475,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,27.0,1,0,264,21.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,28.0,0,0,713,7.8958,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,3.0,1,2,64,41.5792,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
3,19.0,0,0,713,7.8792,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
3,28.0,0,0,713,8.05,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,1,0,264,15.5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
3,28.0,0,0,713,7.75,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
3,28.0,2,0,147,21.6792,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3,18.0,1,0,264,17.8,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,7.0,4,1,70,39.6875,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,21.0,0,0,713,7.8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,49.0,1,0,147,76.7292,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
2,29.0,1,0,264,26.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,65.0,0,1,264,61.9792,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
1,28.0,0,0,713,35.5,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
2,21.0,0,0,713,10.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,28.5,0,0,713,7.2292,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,5.0,1,2,64,27.75,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,11.0,5,2,16,46.9,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,22.0,0,0,713,7.2292,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,38.0,0,0,264,80.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
1,45.0,1,0,264,83.475,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
3,4.0,3,2,24,27.9,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,28.0,0,0,713,27.7208,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3,28.0,1,1,147,15.2458,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,29.0,0,0,713,10.5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
3,19.0,0,0,713,8.1583,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,17.0,4,2,713,7.925,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,26.0,2,0,713,8.6625,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,32.0,0,0,713,10.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,16.0,5,2,16,46.9,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,21.0,0,0,70,73.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,26.0,1,0,264,14.4542,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3,32.0,0,0,16,56.4958,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,25.0,0,0,713,7.65,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
3,28.0,0,0,713,7.8958,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,0,0,713,8.05,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0.83,0,2,147,29.0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,30.0,0,0,264,12.475,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,22.0,0,0,713,9.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,29.0,0,0,713,9.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,0,0,713,7.7875,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1,28.0,0,0,264,47.1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,17.0,0,0,713,10.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,33.0,3,0,264,15.85,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,16.0,1,3,70,34.375,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,0,0,713,8.05,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,23.0,3,2,24,263.0,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
3,24.0,0,0,713,8.05,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,29.0,0,0,713,8.05,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,20.0,0,0,713,7.8542,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,46.0,1,0,264,61.175,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
3,26.0,1,2,64,20.575,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,59.0,0,0,713,7.25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,0,0,713,8.05,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,71.0,0,0,713,34.6542,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
1,23.0,0,1,264,63.3583,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
2,34.0,0,1,264,23.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,34.0,1,0,264,26.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,0,0,713,7.8958,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,28.0,0,0,713,7.8958,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,21.0,0,1,264,77.2875,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
3,33.0,0,0,713,8.6542,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,37.0,2,0,713,7.925,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,0,0,713,7.8958,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,21.0,0,0,713,7.65,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,28.0,0,0,713,7.775,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,38.0,0,0,713,7.8958,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,1,0,147,24.15,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1,47.0,0,0,264,52.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
3,14.5,1,0,264,14.4542,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
3,22.0,0,0,713,8.05,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,20.0,1,0,713,9.825,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,17.0,0,0,264,14.4583,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
3,21.0,0,0,713,7.925,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,70.5,0,0,713,7.75,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
2,29.0,1,0,264,21.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,24.0,0,1,147,247.5208,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
3,2.0,4,2,70,31.275,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,21.0,2,0,70,73.5,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,0,0,713,8.05,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,32.5,1,0,264,30.0708,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,32.5,0,0,713,13.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,54.0,0,1,264,77.2875,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
3,12.0,1,0,264,11.2417,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3,28.0,0,0,713,7.75,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
3,24.0,0,0,713,7.1417,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,1,1,147,22.3583,2,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
3,45.0,0,0,713,6.975,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,33.0,0,0,713,7.8958,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3,20.0,0,0,713,7.05,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,47.0,1,0,264,14.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,29.0,1,0,264,26.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,25.0,0,0,713,13.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,23.0,0,0,713,15.0458,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,19.0,0,2,713,26.2833,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
1,37.0,1,0,264,53.1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
3,16.0,0,0,264,9.2167,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,24.0,0,0,264,79.2,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
3,28.0,0,2,147,15.2458,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
3,22.0,0,0,713,7.75,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,24.0,1,0,264,15.85,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,19.0,0,0,713,6.75,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
2,18.0,0,0,713,11.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,19.0,1,1,64,36.75,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,27.0,0,0,713,7.7958,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,9.0,2,2,70,34.375,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,36.5,0,2,147,26.0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
2,42.0,0,0,713,13.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,51.0,0,0,713,12.525,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,22.0,1,0,264,66.6,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
3,55.5,0,0,713,8.05,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,40.5,0,2,147,14.5,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,0,0,713,7.3125,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,51.0,0,1,264,61.3792,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3,16.0,0,0,713,7.7333,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
3,30.0,0,0,713,8.05,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,0,0,713,8.6625,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,8,2,11,69.55,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,44.0,0,1,264,16.1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,40.0,0,0,264,15.75,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,26.0,0,0,713,7.775,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,17.0,0,0,713,8.6625,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,1.0,4,1,70,39.6875,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,9.0,0,2,147,20.525,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,28.0,0,1,264,55.0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
3,45.0,1,4,24,27.9,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,28.0,0,0,713,25.925,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,0,0,16,56.4958,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,61.0,0,0,713,33.5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
3,4.0,4,1,24,29.125,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
3,1.0,1,1,147,11.1333,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,21.0,0,0,713,7.925,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,56.0,0,0,713,30.6958,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
3,18.0,1,1,713,7.8542,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,3,1,70,25.4667,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,50.0,0,0,713,28.7125,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
2,30.0,0,0,713,13.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,36.0,0,0,64,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,8,2,11,69.55,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,28.0,0,0,713,15.05,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3,9.0,4,2,70,31.3875,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,1.0,2,1,64,39.0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
3,4.0,0,2,147,22.025,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,28.0,0,0,713,50.0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
3,28.0,1,0,264,15.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1,45.0,0,0,713,26.55,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,40.0,1,1,264,15.5,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
3,36.0,0,0,713,7.8958,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,32.0,0,0,713,13.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,19.0,0,0,713,13.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,19.0,1,0,713,7.8542,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,3.0,1,1,147,26.0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
1,44.0,0,0,713,27.7208,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
1,58.0,0,0,147,146.5208,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
3,28.0,0,0,713,7.75,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
3,42.0,0,1,713,8.4042,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,0,0,713,7.75,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,24.0,0,0,713,13.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,28.0,0,0,713,9.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,8,2,11,69.55,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,34.0,0,0,713,6.4958,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,45.5,0,0,713,7.225,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3,18.0,0,0,713,8.05,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,2.0,0,1,264,10.4625,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
3,32.0,1,0,264,15.85,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,26.0,0,0,264,18.7875,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3,16.0,0,0,713,7.75,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1,40.0,0,0,713,31.0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
3,24.0,0,0,713,7.05,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,35.0,0,0,264,21.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,22.0,0,0,713,7.25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,30.0,0,0,713,13.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,1,0,713,7.75,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1,31.0,1,0,147,113.275,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
3,27.0,0,0,713,7.925,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,42.0,1,0,264,27.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,32.0,0,0,264,76.2917,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
2,30.0,0,0,713,10.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,16.0,0,0,713,8.05,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,27.0,0,0,713,13.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,51.0,0,0,713,8.05,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,0,0,713,7.8958,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,38.0,1,0,264,90.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
3,22.0,0,0,713,9.35,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,19.0,0,0,713,10.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,20.5,0,0,713,7.25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,18.0,0,0,713,13.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,3,1,70,25.4667,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,35.0,1,0,264,83.475,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
3,29.0,0,0,713,7.775,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,59.0,0,0,713,13.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,5.0,4,2,70,31.3875,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,24.0,0,0,713,10.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,0,0,713,7.55,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,44.0,1,0,264,26.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,8.0,0,2,147,26.25,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,19.0,0,0,713,10.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,33.0,0,0,713,12.275,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,1,0,264,14.4542,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
3,28.0,1,0,264,15.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,29.0,0,0,713,10.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,22.0,0,0,713,7.125,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,30.0,0,0,713,7.225,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,44.0,2,0,147,90.0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
3,25.0,0,0,713,7.775,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,24.0,0,2,264,14.5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,37.0,1,1,264,52.5542,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
2,54.0,1,0,264,26.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,28.0,0,0,713,7.25,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,29.0,1,1,264,10.4625,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
1,62.0,0,0,713,26.55,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
3,30.0,1,0,264,16.1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,41.0,0,2,147,20.2125,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,29.0,0,2,147,15.2458,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1,28.0,0,0,264,79.2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1,30.0,0,0,147,86.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
1,35.0,0,0,64,512.3292,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2,50.0,0,1,264,26.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,28.0,0,0,713,7.75,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
3,3.0,4,2,70,31.3875,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,52.0,1,1,147,79.65,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
1,40.0,0,0,713,0.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
3,28.0,0,0,713,7.75,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,36.0,0,0,713,10.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,16.0,4,1,70,39.6875,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,25.0,1,0,713,7.775,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,58.0,0,1,147,153.4625,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
1,35.0,0,0,64,135.6333,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
1,28.0,0,0,264,31.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,25.0,0,0,64,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2,41.0,0,1,264,19.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,37.0,0,1,713,29.7,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
3,28.0,0,0,713,7.75,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1,63.0,1,0,147,77.9583,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
3,45.0,0,0,713,7.75,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,28.0,0,0,147,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,7.0,4,1,24,29.125,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
3,35.0,1,1,147,20.25,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,65.0,0,0,713,7.75,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
3,28.0,0,0,713,7.8542,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,16.0,0,0,713,9.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3,19.0,0,0,713,8.05,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
